Package Name,Package Version,Technology,Technology Version,Github URL
opentelemetry-semantic-conventions,0.63b1,python,"3.11,3.12",https://github.com/open-telemetry/opentelemetry-python
opentelemetry-semantic-conventions-ai,0.5.1,python,"3.11,3.12",Could not find GitHub URL
outlines-core,0.2.14+ppc64le1,python,"3.11,3.12",https://github.com/dottxt-ai/outlines-core
packaging,26.2,python,"3.11,3.12",https://github.com/pypa/packaging
partial-json-parser,0.2.1.1.post7,python,"3.11,3.12",https://github.com/promplate/partial-json-parser
pillow,12.2.0+ppc64le1,python,"3.11,3.12",https://github.com/python-pillow/Pillow
prometheus-client,0.25.0,python,"3.11,3.12",https://github.com/prometheus/client_python
prometheus-fastapi-instrumentator,8.0.2,python,"3.11,3.12",https://github.com/trallnag/prometheus-fastapi-instrumentator
protobuf,6.33.6,python,"3.11,3.12",Could not find GitHub URL
psutil,7.2.2+ppc64le1,python,"3.11,3.12",https://github.com/giampaolo/psutil
py-cpuinfo,9.0.0,python,"3.11,3.12",https://github.com/workhorsy/py-cpuinfo
pybase64,1.4.3,python,"3.11,3.12",https://github.com/mayeut/pybase64
pycountry,26.2.16,python,"3.11,3.12",https://github.com/pycountry/pycountry
pycparser,3.0,python,"3.11,3.12",https://github.com/eliben/pycparser
pydantic,2.14.0a1,python,"3.11,3.12",https://github.com/pydantic/pydantic
pydantic-core,2.47.0,python,"3.11,3.12",https://github.com/pydantic
pydantic-extra-types,2.11.2,python,"3.11,3.12",https://github.com/pydantic/pydantic-extra-types
pydantic-settings,2.14.2,python,"3.11,3.12",https://github.com/pydantic/pydantic-settings
pygments,2.20.0+ppc64le1,python,"3.11,3.12",https://github.com/pygments/pygments
pyjwt,2.13.0,python,"3.11,3.12",https://github.com/jpadilla/pyjwt
python-dotenv,1.2.2,python,"3.11,3.12",https://github.com/theskumar/python-dotenv
python-json-logger,4.1.0,python,"3.11,3.12",https://github.com/nhairs/python-json-logger
python-multipart,0.0.32,python,"3.11,3.12",https://github.com/Kludex/python-multipart
pyyaml,6.0.3+ppc64le2,python,"3.11,3.12",https://github.com/yaml/pyyaml
pyzmq,27.1.0+ppc64le1,python,"3.11,3.12",https://github.com/zeromq/pyzmq
referencing,0.37.0,python,"3.11,3.12",https://github.com/python-jsonschema/referencing
regex,2026.5.9,python,"3.11,3.12",https://github.com/mrabarnett/mrab-regex
requests,2.34.2,python,"3.11,3.12",https://github.com/psf/requests
rich,15.0.0,python,"3.11,3.12",https://github.com/Textualize/rich
rich-toolkit,0.20.1,python,"3.11,3.12",Could not find GitHub URL
